Аллергология,,,,,
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: грудь полностью,0,3400,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: живот дорожка,0,900,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: живот полностью,0,2200,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: лицо полностью,0,3400,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: плечи,0,1800,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: подмышки,0,1600,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: предплечья,0,2200,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: спина полностью,0,3600,0,30,A14.01.013
Диетология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Акция Первичный прием диетолога + Биоимпедансометрия,0,3000,0,60,"B01.013.001
A05.30.014"
"Определение процентного соотношения воды, мышечной и жировой ткани с помощью биоимпедансметра",0,2000,0,30,A05.30.014
Первичный прием диетолога,2000,2000,0,60,B01.013.001
Повторный прием диетолога,2000,2000,0,60,B01.013.002
Составление индивидуального рациона на 1 месяц,10000,10000,0,10,
Иглорефлексотерапия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Прием (осмотр, консультация) врача-рефлексотерапевта первичный",0,0,1000,15,B01.041.001
"Прием (осмотр, консультация) врача-рефлексотерапевта повторный",0,0,1000,15,B01.041.002
Процедура комплексной программы рефлексотерапии сеанс 50 мин,0,0,4500,50,
Процедура рефлексотерапии расширенный сеанс 55 мин,0,0,4500,55,
Процедура рефлексотерапии сеанс 40 мин,0,0,3500,40,
Кардиология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Кардиокомплекс (Эхо-сердца, ЭКГ, приём кардиолога)",5200,5200,5200,100,"В01.015.001
А05.10.004
A04.10.002"
"Кардиологический комплекс детский (Эхо сердца, ЭКГ, прием кардиолога)",0,5500,5500,100,"B01.015.003
А05.10.004
A04.10.002"
Прием детского кардиолога,0,2300,2300,50,B01.015.003
Прием детского кардиолога +Эхо сердца,0,4900,4900,80,B01.015.003
Прием кардиолога,2000,2000,2000,30,В01.015.001
Прием кардиолога (повторно),2000,2000,2000,30,В01.015.002
Прием кардиолога на дому (выезд) + ЭКГ с расшифровкой,4000,4000,4000,5,"В01.015.001
А05.10.004"
ЭКГ у кардиолога,1000,1000,1000,5,А05.10.004
Косметика,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Intense Clearing Mask, 75 ml",0,4500,0,5,
"Janssen  1900  Eye Flash Fluid  7 x 1,5 мл  Увлажняющая и восстанавливающая сыворотка в ампулах для контура глаз",0,2100,0,5,
Janssen  1912 Instant Soothing Oil 7 х 2 мл Мгновенно успокаивающее масло для чувствительной кожи,0,2100,0,5,
"Janssen  1917  Skin Contour Fluid  7 х 2 мл  Anti-age лифтинг-сыворотка в ампулах с пептидами, стимулирующими синтез эластина",0,2100,0,5,
"Janssen  1941  Normalizing Fluid (oily, acne prone skin)   7х2мл  Нормализующий концентрат для ухода за жирной кожей",0,2100,0,5,
Janssen  1951  Hyaluron Fluid  7x2мл  Ультраувлажняющая сыворотка с гиалуроновой кислотой,0,2100,0,5,
"Janssen  3360  Dark Circle Eye Cream  15 мл  Универсальный увлажняющий крем  для глаз от темных кругов, отеков и морщин",0,2100,0,5,
Janssen  4040 Intense Clearing Mask 75 мл Интенсивно очищающая маска,4100,0,0,5,
Janssen  6611  Tinted Balancing Cream  50 мл  Балансирующий крем с тонирующим эффектом,0,2800,0,5,
Janssen  6620  Perfect Balancing Cream  50 мл  Балансирующий крем-бальзам,0,3100,0,5,
Janssen 026M Vital Eye Care 10 капсул. Капсулы для глаз,0,900,0,5,
Janssen 1110 Perfect Lift Cream 50 мл Anti-age лифтинг-крем,0,4900,0,5,
Janssen 1110P Perfect Lift Cream 150 мл Anti-age лифтинг-крем с комплексом Cellular Regeneration,0,5900,0,5,
Janssen 1130P Age Perfecting Serum 50 мл Anti-age разглаживающая и укрепляющая сыворотка с комплексом Cellular Regeneration,0,5800,0,5,
Janssen 1140 Rejuvenating Mask 50 мл Омолаживающая крем-маска с комплексом Cellular Regeneration,0,4800,0,5,
Janssen 1160 Tri-Care Eye Cream 15 мл Омолаживающий укрепляющий крем для контура глаз с комплексом Cellular Regeneration,0,4800,0,5,
Janssen 1170M Капсулы с фитоэстрогенами и гиалуроновой кислотой,0,1200,0,5,
Janssen 1190 Instant Lift Serum  30 мл Anti-age лифтинг-сыворотка мгновенного действия с комплексом Cellular Regeneration,0,5500,0,5,
Janssen 1190 Instant Lift Serum  50 мл Anti-age лифтинг-сыворотка мгновенного действия с комплексом Cellular Regeneration,0,5900,0,5,
Janssen 1995P Stem Cell Fluid Сыворотка в ампулах для клеточного обновления,0,2600,0,5,
Janssen 2501 Goodnight Lip Mask 15 мл Ночная восстанавливающая маска для губ,0,3200,0,5,
Janssen 2502 Goodnight Hand Mask 75 мл Ночная маска для рук,0,2600,0,5,
Janssen 2600 Caviar Luxury Cream 50 мл Роскошный,0,5800,0,5,
Janssen 2910 Skin Detox Cream 50 мл Антиоксидантный детокс-крем,0,4100,0,5,
Janssen 3300P Melafadin Cleansing Powder Осветляющая очищающая пудра 100 г,0,3900,0,5,
Janssen 3321 Brightening Night Care 50 мл Осветляющий ночной крем,0,3200,0,5,
"Janssen 3360P Dark Circle Eye Cream 30 мл Универсальный увлажняющий крем  для глаз от темных кругов, отеков и морщин",0,4200,0,5,
Janssen 5090 DEEP XPRESS HYDRO MASK 75 мл Гель-маска для мгновенного и глубокого увлажнения,0,4200,0,5,
Janssen Inspira 4200 Sun Guard SPF 30 Солнцезащитная эмульсия SPF 30 (50 мл),0,2700,0,5,
Janssen Inspira 4230 Sun Guard SPF 50 Солнцезащитная эмульсия SPF 50 (150 мл),0,4200,0,5,
Janssen Ампульные концентраты (сыворотки) для здоровья и молодости кожи (3шт в 1 уп),0,1200,0,5,
"Коллост спрей постпроцедурный / COLLOST CARE POST-PROCEDURE SPRAY, 100 МЛ",0,2100,0,5,
КТ,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Выдача дубликатов результатов исследования (протокол исследования с заключением и снимки),0,500,500,10,
Дополнительная запись результатов исследования на компакт-диск КТ,0,200,200,4,
Задержка КТ,0,0,0,15,
Запись результатов иследования на пленку,0,500,500,10,
Запись результатов исследования на флеш- карту,0,500,500,10,
Консультация врача-ренгенолога высшей категории (о целесообразности и порядке проведения колоноскопии),0,1500,1500,30,B01.039.001
Контраст для колоноскопии (залоговая стоимость),0,500,500,10,
"МСКТ брюшной полости и забрюшинного пространства (печень, поджелудочная железа, селезенка, желчный пузырь, почки, надпочечники)",0,5900,5900,15,A06.30.005.001
МСКТ виртуальная колоноскопия,0,9800,9800,30,A06.18.004
МСКТ височно-нижнечелюстного сустава,0,4300,4300,15,A06.04.020
МСКТ височно-нижнечелюстного сустава ( с закрытым ртом),0,3700,3700,15,A06.04.020
МСКТ височных костей,0,4300,4300,15,A06.25.003
МСКТ голеностопного сустава (1 сустав),0,3800,3800,15,A06.04.017
МСКТ голеностопного сустава (2 сустава),0,6000,6000,15,A06.04.017
МСКТ головного мозга,0,3700,3700,15,A06.23.004
МСКТ головного мозга и придаточных пазух носа,0,4800,4800,15,"A06.23.004
A06.08.007.003"
МСКТ головы (обзорная),0,4300,4300,15,"А06.03.002
А06.23.004"
МСКТ гортани,0,4300,4300,15,A06.08.007.001
МСКТ грудного отдела позвоночника,0,3700,3700,15,А06.03.058
МСКТ зубочелюстной системы,0,5000,5000,15,А06.07.013
МСКТ кисти (1 конечности),0,3800,3800,15,A06.04.017
МСКТ кисти (2 конечности),0,6000,6000,15,A06.04.017
МСКТ коленного сустава (1 сустав),0,3800,3800,15,A06.04.017
МСКТ коленного сустава (2 сустава),0,6000,6000,15,A06.04.017
МСКТ костей таза,0,4300,4300,15,A06.03.069
МСКТ костей черепа (одна область),0,3700,3700,15,А06.03.002
"МСКТ кости (плечо, предплечье, бедро, голень)",0,3800,3800,15,A06.03.062
МСКТ локтевого сустава (1 сустав),0,3800,3800,15,A06.04.017
МСКТ локтевого сустава (2 сустава),0,6000,6000,15,A06.04.017
МСКТ лучезапястного сустава (1 сустав),0,3800,3800,15,A06.04.017
МСКТ лучезапястного сустава (2 сустава),0,6000,6000,15,A06.04.017
"МСКТ мочевыводящей системы (почки, мочевой пузырь, мочеточники) на предмет мочекаменной болезни",0,5900,5900,15,А06.28.009
МСКТ околоносовых пазух,0,3900,3900,15,A06.08.007.003
МСКТ околоносовых пазух в 2-х проекциях,0,3900,3900,15,A06.08.007.003
МСКТ орбит,0,3700,3700,15,А06.26.006
МСКТ органов брюшной полости и грудной клетки,0,7600,7600,15,"A06.09.005
A06.30.005.002"
МСКТ органов брюшной полости и малого таза,0,8100,8100,15,"A06.30.005.001
A06.20.002.001"
МСКТ органов брюшной полости и поясничного отдела позвоночника,0,7200,7200,15,"A06.30.005.001
A06.03.058"
МСКТ органов грудной клетки и брюшной полости с оценкой грудного и поясничного отдела позвоночника,0,10300,10300,15,"A06.20.002.001
A06.30.005.002
А06.03.058"
"МСКТ органов грудной клетки, брюшной полости, малого таза",0,10200,10200,15,"A06.09.005
A06.30.005.001
A06.20.002.001"
МСКТ органов грудной полости,0,3900,3900,10,A06.09.005
МСКТ органов грудной полости (исследование на вдохе и выдохе),0,4300,4300,15,A06.09.005
МСКТ органов грудной полости и грудного отдела позвоночника,0,5800,5800,15,"A06.09.005
A06.03.058"
"МСКТ органов малого таза (мочевой пузырь, предстательная железа, матка, яичники)",0,4800,4800,15,A06.20.002.001
МСКТ оценка коронарного кальция,0,3900,3900,30,
МСКТ плечевого сустава (1 сустав),0,3800,3800,15,A06.04.017
МСКТ пояснично-крестцового отдела позвоночника,0,3700,3700,15,А06.03.058
МСКТ поясничного отдела и тазобедренных суставов,0,6300,6300,15,"А06.03.058
A06.04.017"
МСКТ стопы (1 конечности),0,3800,3800,15,A06.04.017
МСКТ стопы (2 конечности),0,6000,6000,15,A06.04.017
МСКТ тазобедренных суставов,0,3800,3800,15,A06.04.017
МСКТ шеи,0,3700,3700,15,A06.08.009.001
МСКТ шеи и шейного отдела позвоночника,0,6000,6000,15,"A06.08.009.001
А06.03.058"
МСКТ шейного отдела позвоночника,0,3700,3700,15,А06.03.058
Оценка динамики ( в случае непредоставления предыдущих результатов при прохождении обследования,0,1000,1000,40,
КТ-КОНТРАСТ,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Контрастирование Омнипак 300/350 мг_,0,3600,3600,10,
МСКТ ангиография брюшной аорты и подвздошных артерий с болюсным контрастированием_,0,10500,10500,30,A06.12.052.001
МСКТ ангиография грудной аорты с болюсным контрастированием_,0,8100,8100,45,А06.12.052
"МСКТ ангиография грудной, брюшной аорты и подвздошных артерий с болюсным контрастированием_",0,14500,14500,45,"А06.12.052
A06.12.052.001
"
МСКТ ангиография сосудов головного мозга и сосудов шеи с болюсным контрастированием_,0,10500,10500,30,"А06.12.056
А06.12.058
"
МСКТ ангиография сосудов головного мозга с болюсным контрастированием_,0,8100,8100,30,А06.12.056
МСКТ ангиография сосудов шеи с болюсным контрастированием_,0,8100,8100,30,А06.12.058
МСКТ артерий нижних конечностей (бедренные артерии и артерии голени) с болюсным контрастированием_,0,10100,10100,30,A06.12.053
МСКТ брюшной аорты и артерий нижних конечностей с болюсным контрастированием_,0,14500,14500,30,"А06.12.052
A06.12.053
"
"МСКТ брюшной полости и забрюшинного пространства (печень, поджелудочная железа, селезенка, желчный пузырь, почки, надпочечники) с контрастом_",0,9500,9500,30,A06.30.005.002
МСКТ виртуальная колоноскопия с контрастом_,0,13400,13400,30,A06.18.004.001
МСКТ головного мозга +ангиография сосудов головного мозга с болюсным контрастированием_,0,10100,10100,30,"А06.23.004
А06.12.056"
МСКТ головного мозга с контрастом_,0,7300,7300,30,А06.23.004.006
МСКТ гортани с контрастом_,0,7900,7900,30,A06.08.007.002
"МСКТ мочевыводящей системы (почки, мочевой пузырь, мочеточники) на предмет мочекаменной болезни с контрастом_",0,9500,9500,30,A06.28.009.001
МСКТ органов брюшной полости и грудной клетки с контрастом_,0,11200,11200,30,"A06.30.005.002
A06.09.005.002
"
МСКТ органов брюшной полости и малого таза с контрастом_,0,11700,11700,30,"A06.30.005.002
A06.20.002.002"
МСКТ органов брюшной полости и поясничного отдела позвоночника с контрастом_,0,10800,10800,30,"A06.30.005.002
A06.03.058.003
"
МСКТ органов грудной клетки и брюшной полости с оценкой грудного и поясничного отдела позвоночника с контрастом_,0,13900,13900,30,"A06.20.002.001
A06.30.005.002
A06.03.058.003"
"МСКТ органов грудной клетки, брюшной полости, малого таза с контрастом_",0,13800,13800,30,"A06.20.002.001
A06.30.005.002
A06.20.002.002"
МСКТ органов грудной полости и грудного отдела позвоночника с контрастом_,0,9400,9400,30,"A06.09.005.002
A06.03.058.003"
МСКТ органов грудной полости с контрастом_,0,7500,7500,30,A06.09.005.002
"МСКТ органов малого таза (мочевой пузырь, предстательная железа, матка, яичники) с контрастом_",0,8400,8400,30,A06.20.002.002
МСКТ подвздошных артерий и артерий нижних конечностей с болюсным контрастированием_,0,13100,13100,30,A06.12.053
МСКТ шеи + ангиография сосудов шеи с болюсным контрастированием_,0,10100,10100,30,"A06.08.009.001
А06.12.058
"
МСКТ шеи и шейного отдела позвоночника с контрастом_,0,9600,9600,30,"A06.08.009.002
A06.03.058.003"
МСКТ шеи с контрастом_,0,7300,7300,30,A06.08.009.002
Массаж,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
МРТ,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
2 Коленных сустава,10200,10200,10200,40,A05.04.001
Выдача дубликатов результатов исследования (протокол исследования с заключением и снимки) МРТ,500,500,500,5,
Дополнительная запись результатов исследования на компакт-диск МРТ,200,200,200,5,
Дополнительная запись результатов исследования на флеш-карту,500,500,500,5,
Дополнительная запись результатов на пленку МРТ,500,500,500,5,
ЗАДЕРЖКА,1,1,1,60,
Консультация с врачом рентгенологом перед мрт Онкопоиск,0,1,0,5,
Контрастирование Омнискан,4100,4100,4100,10,A11.12.003.055
МР-ангиография артерий головного мозга,3800,3800,3800,20,A05.12.007.005
МР-ангиография артерий шеи,3800,3800,3800,20,A05.30.008
МР-ангиография вен головного мозга,3800,3800,3800,20,A05.12.005
МР-ангиография вен и артерий головного мозга,6900,6900,6900,30,"A05.12.005
A05.12.004"
"МРТ брюшной полости и малого таза - печень, поджелудочная железа, селезенка, желчевыводящие пути+холангиография, матка, придатки, предстательная железа, мочевой пузырь)",10200,10200,10200,90,"A05.30.005
A05.30.004
A05.14.002"
МРТ височно-нижнечелюстного сустава (пара),0,0,8000,50,
МРТ височно-нижнечелюстного сустава (пара) с регистратором/капой  (выдается лечащим врачом),0,0,9000,60,
"МРТ всего позвоночника (шейный, грудной, пояснично-крестцовый)",10900,10900,10900,40,"A05.03.002.002
A05.03.002.003
A05.03.002.004"
МРТ гипофиза головного мозга,4500,4500,4500,20,А05.22.002
МРТ голеностопного сустава (1 сустав),5100,5100,5100,20,A05.04.001
МРТ головного мозга (обзорная),4700,4700,4700,20,А05.23.009
МРТ головного мозга + ангиография вен головного мозга (венография),5900,5900,5900,30,"A05.23.009
A05.12.005"
МРТ головного мозга + гипофиз,5900,5900,5900,30,"А05.23.009
А05.22.002"
МРТ головного мозга + глазные орбиты,5900,5900,5900,30,"А05.23.009
A05.26.008"
МРТ головного мозга + придаточные пазухи носа,5900,5900,5900,30,"А05.23.009
A05.08.001"
МРТ головного мозга + слуховые проходы,5900,5900,5900,30,"A05.23.009
A05.23.009.020"
МРТ головного мозга для подготовки к процедуре гамма-нож,8100,8100,8100,40,A05.23.009.018
МРТ головного мозга и ангиография артерий,6400,6400,6400,30,"A05.23.009.018
A05.12.004"
МРТ головного мозга и ангиография вен и артерий,7400,7400,7400,30,"A05.23.009
A05.12.007"
МРТ головного мозга при деменции,5900,5900,5900,30,А05.23.009.002
МРТ головного мозга при нейроваскулярном конфликте,5900,5900,5900,30,А05.23.009.003
МРТ головного мозга при эпилепсии,5900,5900,5900,30,А05.23.009.001
МРТ грудного отдела позвоночника,4700,4700,4700,20,A05.03.002.003
МРТ диффузия всего тела. Онкопоиск (по результатам консультации с врачом ренгенологом),0,14000,0,80,
МРТ кисти,5500,5500,5500,40,А05.30.011.002
МРТ коленного сустава (1 сустав),5100,5100,5100,20,A05.04.001
МРТ копчика,4700,4700,4700,20,A05.03.002.004
МРТ крестцово-подвздошных сочленений,4700,4700,4700,20,A05.04.001.008
МРТ локтевого сустава (1 сустав),5500,5500,5500,30,A05.04.001
МРТ лучезапястного сустава (1 сустав),5500,5500,5500,40,A05.04.001
"МРТ мужских половых органов (половой член, мошонка)",6700,6700,6700,40,A05.21.001
"МРТ мужского малого таза и наружных половых органов (мочевой пузырь, предстательная железа, наружные половые органы)",9700,9700,9700,60,"A05.30.004
А05.21.001"
"МРТ мягких тканей - одна область (рука, нога, ягодицы, шея)",6700,6700,6700,40,A05.01.002
"МРТ органов брюшной полости (печень, поджелудочная железа, селезенка, желчевыводящие пути)",6900,6900,6900,40,A05.30.005
"МРТ органов брюшной полости (печень, поджелудочная железа, селезенка, желчевыводящие пути) + холангиография (изображение желчных протоков)",7500,7500,7500,40,"A05.30.005
A05.14.002"
"МРТ органов брюшной полости (печень, поджелудочная железа, селезенка, желчевыводящие пути) , брюшной отдел аорты",0,9000,9000,50,A05.30.005.003
"МРТ органов брюшной полости и забрюшинного пространства (печень, поджелудочная железа, селезенка, почки, надпочечники, желчевыводящие пути)",8400,8400,8400,40,"A05.30.005
A05.30.007"
"МРТ органов брюшной полости и забрюшинного пространства (печень, поджелудочная железа, селезенка, почки, надпочечники, желчевыводящие пути) + холангиография (изображение желчных протоков)",10900,10900,10900,40,
"МРТ органов женского малого таза (матка, придатки, мочевой пузырь)",6700,6700,6700,40,A05.30.004
"МРТ органов мужского малого таза (мочевой пузырь, предстательная железа, прямая кишка)",6700,6700,6700,40,A05.30.004
МРТ плечевого сустава (1 сустав),5500,5500,5500,30,A05.04.001
"МРТ почек, надпочечников",5800,5800,5800,30,A05.30.007
"МРТ почек, надпочечников + ангиография почечных артерий",0,6500,6500,30,
МРТ пояснично-крестцового отдела позвоночника,4700,4700,4700,20,A05.03.002.004
МРТ придаточных пазух носа,3900,3900,3900,20,A05.08.001
МРТ Слюнных желез,5300,5300,5300,30,А05.30.010
Мрт слюнных желез+сиалография (проходимость протоков),5700,5700,5700,40,А05.30.010.001
МРТ стопы,5500,5500,5500,40,A05.30.012.002
МРТ тазобедренных суставов (пара),5100,5100,5100,30,A05.04.001
"МРТ Центральной нервной системы (ЦНС) - головной мозг, вены и артерии, шейный отдел и артерии шеи, грудной, пояснично-крестцовый",19500,19500,19500,80,"A05.23.009
A05.12.007
А05.03.002
A05.30.008
A05.03.002.002
A05.03.002.003"
МРТ шейного отдела + ангиография артерий шеи,6400,6400,6400,30,"А05.03.002
A05.30.008"
МРТ шейного отдела позвоночника,4700,4700,4700,20,A05.03.002.002
Холангиография (изображение желчных протоков),5500,5500,5500,20,А06.28.009
МРТ-КОНТРАСТ,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"МРТ всего позвоночника (шейный, грудной, пояснично-крестцовый) с контрастом",0,15000,15000,70,
МРТ головного мозга обзорная с контрастированием (Омнискан),8800,8800,8800,30,A05.23.009.001
"МРТ органов брюшной полости (печень, поджелудочная железа, селезенка, желчевыводящие пути) с контрастированием (Омнискан)",11000,11000,11000,50,A05.30.005.001
"МРТ органов брюшной полости и забрюшинного пространства (печень, поджелудочная железа, селезенка, почки, надпочечники, желчевыводящие пути) с контрастированием (Омнискан)",12500,12500,12500,50,"A05.30.005.001
A05.30.007.001"
"МРТ органов женского малого таза (матка, придатки, мочевой пузырь) с контрастированием (Омнискан)",10800,10800,10800,50,A05.30.004.001
"МРТ органов мужского малого таза (мочевой пузырь, предстательная железа, прямая кишка) с контрастированием (Омнискан)",10800,10800,10800,50,A05.30.004.001
Неврология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Ботулинотерапия 1 ед. в неврологии,0,300,0,40,
Ботулинотерапия мигрени по протоколу PREEMPT (Релатокс 100 ед),0,25000,0,45,
Ботулинотерапия мигрени по протоколу PREEMPT (Релатокс 50 ед),0,15000,0,45,
Локальная инъекционная терапия (блокада) одной зоны (анестетик + Дипроспан/Дипромета),2500,2500,2500,10,А.11.03.004
Локальная инъекционная терапия (блокада) одной зоны (анестетик + р-р дексаметазон/гидрокартизон),2000,2000,2000,10,А.11.03.004
Локальная инъекционная терапия (блокада) одной зоны (без стоимости лекарственного препарата),1500,1500,1500,10,А.11.03.004
Локальная озонотерапия в неврологии,1000,1000,1000,5,
Паравертебральная блокада,1000,1000,1000,10,А11.02.002.4
Паравертебральная блокада с нашим лекарственным средством,0,1500,1500,10,
"Прием (осмотр, консультация) детского врача-невролога",0,2300,2300,30,B01.023.001
"Прием ведущего специалиста, врача невролога",2500,2500,2500,30,
Прием невролога (первично),2000,2000,2000,30,В01.023.001
Прием невролога (повторно),2000,2000,2000,30,В01.023.002
Прием невролога при деменции с проведением нейропсихологических тестов (1 час),3000,3000,3000,60,В01.023.001
Репозиционный маневр (маневр Эпли) (лечение доброкачественного пароксизмального головокружения),1700,1700,1700,15,
Тестирование при деменции (нейропсихологические тесты) 30 мин,1700,1700,1700,30,
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (3000 импульсов) в неврологии,0,2900,0,30,
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (4000 импульсов) в неврологии,0,3800,0,30,
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (4000 импульсов) курс из 3 процедур в неврологии,0,9500,0,30,
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (4000 импульсов) курс из 5 процедур в неврологии,0,15000,0,30,
Фокусированная ударно-волновая терапия (ФУВТ) — 2 зоны (3000 импульсов) в неврологии,0,5800,0,30,
Озонотерапия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Озонотерапия 1 внутривенная процедура,1000,1000,1000,30, A20.30.024.006
Озонотерапия 1 внутривенная процедура + консультация,1500,1500,1500,10,"В01.050.001
A20.30.024.006"
Озонотерапия 1 внутривенная процедура 400 мл (1 час),1400,1400,1400,60, A20.30.024.006
Озонотерапия 2 обл,2000,2000,2000,30, A20.30.024.006
Озонотерапия курс из 5-ти внутривенных процедур,4000,4000,4000,30, A20.30.024.006
Озонотерапия курс из 5-ти внутривенных процедур (400 мл),6000,6000,6000,60, A20.30.024.006
Онкология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Прием (осмотр, консультация) врача-онколога первичный",0,2000,0,30,
"Прием (осмотр, консультация) врача-онколога повторный",0,2000,0,30,
Остеопатия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Комплексная диагностика и изготовление индивидуальных ортопедических стелек (ФормТотикс),0,7500,7500,30,А23.30.001
Коррекция индивидуальных ортопедических стелек (ФормТотикс),0,1000,1000,30,А23.30.001
Остеопатическое лечение (дети с 1 года до 14 лет),0,6000,6000,70,"B01.069.001
"
Остеопатическое лечение (дети с 1 года до 14 лет) повторный прием,0,6000,6000,65,"B01.069.002
"
